length_of_formation_period,length_of_test_period,month_number,ACAR_W,ACAR_L,no_of_intervals,s,T
1,6,1,0.24695088301967302,-0.15233427570833932,23,0.010219717310809917,-43964.61177700874
1,6,3,0.23760938516852653,-0.1666947697016469,23,0.020387820085768407,-11185.733288880932
1,6,6,0.3268797238468765,-0.2062596272619898,23,0.059397546250253334,-1737.8071136641647
3,6,1,0.47520679386025044,-0.2596154942465658,21,0.025162551934589706,-12186.030228184216
3,6,3,0.4754158435458005,-0.26379307458070655,21,0.03774167261431399,-5448.967413209878
3,6,6,0.5992523051390177,-0.32616934463196295,21,0.07617699224711777,-1674.4851957780634
6,12,1,0.8406468690279207,-0.47145510556106346,12,0.07343370229110983,-1459.9164108064183
6,12,3,0.8820517825596056,-0.4687937333311913,12,0.09691330560086535,-862.9589189262086
6,12,6,0.9843524069892507,-0.4402418917865853,12,0.05784733766539995,-2554.3223318003866
6,12,9,1.037502418895855,-0.43535235447367,12,0.07531753789804974,-1557.8259991350067
6,12,12,1.3432939094314162,-0.5103771271673607,12,0.13338262813674612,-625.1516384956165
9,12,1,1.2471274930998655,-0.6008873355267726,9,0.07338612474268286,-1544.1520272481778
9,12,3,1.2249499829044608,-0.5965113695470449,9,0.045279748286228896,-3997.8313272673563
9,12,6,1.3142632317092429,-0.5331916990499638,9,0.059310471199865905,-2363.3259164468077
9,12,9,1.4854893221560077,-0.5365205351750374,9,0.08502941326725391,-1258.512164278614
9,12,12,2.0607342188743325,-0.7559562278216565,9,0.10455368204169131,-1159.5059213720306
12,12,1,1.4393215415724991,-0.7832486529254595,6,0.040472202307568386,-4070.643470306426
12,12,3,1.4041807523151346,-0.7070390664849414,6,0.07530692840979629,-1116.8242634022868
12,12,6,1.7903629334306477,-0.6460762059793935,6,0.12736911670116863,-450.55576207593083
12,12,9,2.1119399395747096,-0.7150324216032776,6,0.11536128533340181,-637.2687828970023
12,12,12,2.9920512873583736,-1.1267834222012216,6,0.7653422297667011,-21.095229957829194
